CountryName	AreaName	CityName	CityEnName	CityId	PlaceName	PlaceId
동티모르	딜리 주	딜리	dili	DIL	프레지던테 니콜라우 로바토 국제공항	DIL
미국	조지아	애틀랜타	atlanta	ATL	하츠필드잭슨 국제공항	ATL
미국	캘리포니아	로스엔젤레스	los-angeles	LAX	로스앤젤레스 국제공항	LAX
미국	일리노이	시카고	chicago	chi	오헤어 국제공항	ORD
미국	일리노이	시카고	chicago	chi	미드웨이 국제공항	MDW
미국	텍사스	댈러스	dallas	DFW	포트워스 국제공항	DFW
미국	텍사스	댈러스	dallas	DFW	러브필드 공항	DAL
미국	콜로라도	덴버	denver	DEN	덴버 국제공항	DEN
미국	뉴욕주	뉴욕	new-york	nyc	존 F. 케네디 국제공항	JFK
미국	뉴욕주	뉴욕	new-york	nyc	라구아디아 공항	LGA
미국	뉴욕주	뉴욕	new-york	nyc	뉴버그 공항	SWF
미국	뉴욕주	뉴욕	new-york	nyc	뉴왁리버티 국제공항	EWR
미국	캘리포니아	샌프란시스코	san-francisco	SFO	샌프란시스코 국제공항	SFO
미국	캘리포니아	오크랜드	oakland	OAK	오클랜드 국제공항	OAK
미국	캘리포니아	산호세	san-jose	SJC	산호세 국제공항	SJC
미국	워싱턴	시애틀	seattle	SEA	시애틀 타코마 국제공항	SEA
미국	워싱턴	시애틀	seattle	SEA	시애틀 보잉 필드 공항	BFI
미국	워싱턴	에버렛	everett	PAE	스노 호미 쉬 세인트 카운티 공항	PAE
미국	네바다	라스베이거스	las-vegas	LAS	맥카렌 국제공항	LAS
미국	플로리다	올란도	orlando	orl	올랜도 국제공항	MCO
미국	플로리다	올란도	orlando	orl	올랜도 샌포드 공항	SFB
미국	노스 캐롤라이나	샬럿	charlotte	CLT	더글러스 국제공항	CLT
미국	애리조나	피닉스	phoenix	PHX	피닉스 스카이 하버 국제공항	PHX
미국	텍사스	휴스턴	houston	hou	조지부시인터콘티넨탈공항	IAH
미국	텍사스	휴스턴	houston	hou	윌리엄 P. 호비 공항	HOU
미국	플로리다	마이애미	miami	MIA	마이애미 국제공항	MIA
미국	플로리다	포트로더데일	fort-lauderdale	FLL	포트로더데일-할리우드국제공항	FLL
미국	캘리포니아	버뱅크	burbank	BUR	밥호프공항	BUR
미국	캘리포니아	로스엔젤레스	los-angeles	LAX	온타리오국제공항	ONT
미국	캘리포니아	산타아나	santa-ana	SNA	존 웨인 공항	SNA
미국	캘리포니아	롱비치	long-beach	LGB	롱비치 공항	LGB
미국	캘리포니아	샌디에이고	san-diego	SAN	샌디에고 국제공항	SAN
미국	캘리포니아	새크라멘토	sacramento	sac	새크라멘토 국제공항 	SMF
미국	오리건주	포틀랜드	portland	PDX	포틀랜드 국제공항	PDX
미국	워싱턴	스포캔	spokane	GEG	스포캔 국제공항	GEG
미국	아이다호	보이시	boise	BOI	에어터미널	BOI
미국	유타	솔트레이크시티	salt-lake-city	SLC	솔트레이크시티 국제공항	SLC
미국	애리조나	투손	tucson	TUS	투손 국제공항	TUS
미국	네바다	리노	reno	RNO	리노-타호 국제공항	RNO
미국	뉴멕시코	앨버커키	albuquerque	ABQ	앨버커키 국제공항	ABQ
미국	미네소타	미니애폴리스	minneapolis	MSP	세인트 폴 국제공항	MSP
미국	아이오아	드모인	des-moines	DSM	디모인 국제공항	DSM
미국	네브래스카	오마하	omaha	OMA	에플리 공항	OMA
미국	캔자스	위치타	wichita	ICT	미드컨티넌트공항	ICT
미국	미주리	캔자스시티	kansas-city	mkc	캔자스시티 국제공항	MCI
미국	미주리	세인트루이스	st--louis	STL	세인트루이스 국제공항	STL
미국	인디애나	인디애나폴리스	indianapolis	IND	인디애나폴리스 국제공항	IND
미국	위스콘신	밀워키	milwaukee	MKE	제너럴미첼국제공항	MKE
미국	미시간	디트로이트	detroit	dtt	메트로폴리탄웨인카운티공항	DTW
미국	미시간	그랜드라피드	grand-rapids	GRR	제럴드 R. 포드 국제공항	GRR
미국	오하이오	클리블랜드	cleveland	CLE	홉킨스 국제공항	CLE
미국	오하이오	콜롬버스	columbus	CMH	포트국제공항	CMH
미국	오하이오	신시내티	cincinnati	CVG	노던켄터키국제공항	CVG
미국	켄터키	루이빌	louisville	SDF	루이빌 국제공항	SDF
미국	테네시	멤피스	memphis	MEM	멤피스 국제공항	MEM
미국	테네시	내슈빌	nashville	BNA	내슈빌 국제공항	BNA
미국	알라바마	버밍엄	birmingham	BHM	버밍햄-셔틀워스 국제공항	BHM
미국	조지아	서배너	savannah	SAV	서배너 힐튼헤드 국제공항	SAV
미국	아칸소	리틀록	little-rock	LIT	국립 공항	LIT
미국	루이지애나	뉴올리언스	new-orleans	MSY	루이 암스트롱 뉴올리언즈 국제공항	MSY
미국	오클라호마	오클라호마시티	oklahoma-city	OKC	윌 로저스 월드 공항	OKC
미국	오클라호마	털사	tulsa	TUL	털사 국제공항	TUL
미국	텍사스	오스틴	austin	AUS	오스틴-벅스트롬국제공항	AUS
미국	텍사스	샌안토니오	san-antonio	SAT	샌안토니오 국제공항	SAT
미국	텍사스	엘파소	el-paso	ELP	엘파소 국제공항	ELP
미국	메릴랜드	발티모어	baltimore	BWI	볼티모어/워싱턴서굿마셜국제공항	BWI
미국	콜롬비아 특별구	워싱턴	washington-d-c-	was	로널드레이건국제공항	DCA
미국	콜롬비아 특별구	워싱턴	washington-d-c-	was	덜레스 국제공항	IAD
미국	버지니아	리치몬드	richmond	RIC	리치먼드 국제공항	RIC
미국	버지니아	노퍽	norfolk	ORF	노퍽 국제공항	ORF
미국	노스 캐롤라이나	롤리	raleigh	RDU	더럼 국제공항	RDU
미국	사우스 캐롤라이나	찰스턴	charleston	CHS	찰스턴 국제공항	CHS
미국	플로리다	탬파	tampa	TPA	탐파 국제공항	TPA
미국	플로리다	포트마이어	fort-myers	fmy	사우스웨스트 플로리다 국제공항	RSW
미국	플로리다	잭슨빌	jacksonville	JAX	잭슨빌 국제공항	JAX
미국	플로리다	웨슽트팜비치	west-palm-beach	PBI	팜비치 국제공항	PBI
미국	플로리다	데이토나비치	daytona-beach	DAB	데이토나 비치 국제공항	DAB
미국	뉴욕주	버펄로	buffalo	BUF	버팔로 나이아가라 국제공항	BUF
미국	뉴욕주	Albany	albany	ALB	올버니 국제공항	ALB
미국	뉴저지	테터보로	teterboro	TEB	테터보로 공항	TEB
미국	펜실베이니아	필라델피아	philadelphia	PHL	필라델피아 국제공항	PHL
