안나바, 알제리	라바 비타트 공항	AAE
워터타운, NY, 미국	워터타운 국제공항	ART
워터타운, NY, 미국	Watertown	ART
아라카투바, 브라질	아라사투바 에어포트	ARU
아라카치, 브라질	Dragao do Mar	ARX
아시가바트, TKM	아슈하바트 공항	ASB
아시가바트, 투르크메니스탄	아슈하바트 공항	ASB
아시가바트, 투르크메니스탄	Ashgabat	ASB
아스펜, CO, 미국	애스펀 핏킨 카운티 공항	ASE
아스펜, CO, 미국	Aspen	ASE
아스펜, CO, 미국	Pitkin County	ASE
아스타라한, 러시아	나리마노바 에어포트	ASF
Georgetown, SHN	Wideawake Fld	ASI
Georgetown, 세인트헬레나	RAF Ascension Island	ASI
Georgetown, 세인트헬레나	Wideawake Fld	ASI
아마미, 일본	아마미공항	ASJ
아스마라, 에리트레아	아스마라 국제공항	ASM
Āsosa, 에티오피아	Asosa	ASO
앨리스스프링스, NT, 호주	앨리스스프링스공항	ASP
오스틴, NV, 미국	오스틴 에어포트	ASQ
오스틴, NV, 미국	Austin	ASQ
카이세리, 터키	에르킬레트 국제공항	ASR
카이세리, 터키	Kayseri Erkilet	ASR
카이세리, 터키	Kayseri	ASR
사비파크, 남아프리카공화국	Arathusa Safari Lodge	ASS
Distrito Capital, Paraguay	Silvio Pettirossi	ASU
Villa Morra, Paraguay	Silvio Pettirossi	ASU
아순시온, PRY	실비오페티로시국제공항	ASU
아순시온, 파라과이	실비오페티로시국제공항	ASU
아순시온, 파라과이	Silvio Pettirossi	ASU
암보셀리, 케냐	암보셀리공항	ASV
아스완, 이집트	아스완 국제공항	ASW
아스완, 이집트	Daraw	ASW
후아라즈, 페루	코만단테 FAP 저먼 아리아스 그라지아니 에어포트	ATA
Arthur's Town, 바하마	아서스 타운 에어포트	ATC
Malo'u, 솔로몬제도	Atoifi	ATD
아테네, GRC	아테네국제공항	ATH
아테네, 그리스	아테네국제공항	ATH
아테네, 그리스	Eleftherios V.	ATH
아테네, 그리스	Spata	ATH
아테네, 그리스	Athens Intl Airport "Eleftherios Venizelos"	ATH
안치라베, 마다가스카르	Antsirabe	ATJ
Atqasuk, AK, 미국	앳쿼석 에드워드 버넬 시니어 메모리얼 에어포트	ATK
애틀랜타, GA, 미국	하츠필드잭슨국제공항	ATL
애틀랜타, GA, 미국	Hartsfield-Jackson	ATL
알타미라, 브라질	알타미라 에어포트	ATM
Amritsar, India	Sri Guru Ram Dass Jee Intl	ATQ
암리차르, 인도	스리 구루 람 다스 지 국제공항	ATQ
암리차르, 인도	Sri Guru Ram Dass Jee Intl	ATQ
암리차르, 인도	Raja Sansi	ATQ
아타르, 모리타니	Atar	ATR
아타르, 모리타니	아타르 인터내셔널 에어포트	ATR
애트마웃루악, AK, 미국	Atmautluak	ATT
애트마웃루악, AK, 미국	애트마웃루악 에어포트	ATT
Appleton, WI	Outagamie County	ATW
애플턴, WI, 미국	우타가미 카운티 리저널 에어포트	ATW
애플턴, WI, 미국	Outagamie Cty	ATW
애플턴, WI, 미국	Outagamie County	ATW
워터타운, SD, 미국	워터타운지역공항	ATY
워터타운, SD, 미국	Watertown	ATY
Asyūţ, Egypt	Assiut	ATZ
아시유트, 이집트	Assiut	ATZ
아시유트, 이집트	아시우트 에어포트	ATZ
Ponton, Aruba	Reina Beatrix	AUA
Primavera, Aruba	Reina Beatrix	AUA
오란예스타트, ABW	퀸 베아트릭스 국제공항	AUA
오란예스타트, 아루바	퀸 베아트릭스 국제공항	AUA
오란예스타트, 아루바	Reina Beatrix	AUA
아라우카, 콜롬비아	산티아고 페레스 키로스 에어포트	AUC
오거스타, ME, 미국	오거스타주립공항	AUG
아부다비, United Arab Emirates	아부다비국제공항	AUH
아부다비, 아랍에미리트	Abu Dhabi Intl	AUH
아부다비, 아랍에미리트	아부다비국제공항	AUH
Alakanuk, AK, 미국	앨러카누크 에어포트	AUK
Hiva Oa, French Polynesia	Atuona	AUQ
히바오아, 프랑스령 폴리네시아	Atuona	AUQ
히바오아, 프랑스령 폴리네시아	아투오나 에어포트	AUQ
오리야크, 프랑스	오리악 에어포트	AUR
오스틴, TX, 미국	오스틴-버그스트롬국제공항	AUS
오스틴, TX, 미국	Austin Bergstrom	AUS
오러쿤, QLD, 호주	오루쿤 에어포트	AUU
Aneityum, 바누아투	아나톰 에어포트	AUY
Anshun, China	Huangguoshu	AVA
안순, 중국	Huangguoshu	AVA
안순, 중국	An Shun/Huang Guo Shu	AVA
애슈빌, NC, 미국	Asheville Regional	AVL
애슈빌, NC, 미국	애슈빌 리저널 에어포트	AVL
아비뇽, 프랑스	Avignon-Caum	AVN
아비뇽, 프랑스	아비뇽 프로방스공항	AVN
스크랜턴, PA, 미국	윌크스배러 스크랜튼 국제공항	AVP
스크랜턴, PA, 미국	Wilkes-Barre Scranton	AVP
멜버른, VIC, 호주	Avalon	AVV
멜버른, VIC, 호주	아발론공항	AVV
아발론공항	멜버른, VIC, 호주	AVV
Hawassa, Ethiopia	Awasa	AWA
아와사, Ethiopia	아와사 인터내셔널 에어포트	AWA
아와사, 에티오피아	아와사 인터내셔널 에어포트	AWA
Aniwa, 바누아투	아니와 에어포트	AWD
Ahvāz, Iran	Ahwaz	AWZ
Ahwaz, 이란	Ahwaz	AWZ
The Valley, Anguilla	Wallblake Intl	AXA
더 밸리, AIA	클레이턴 J. 로이드 국제공항	AXA
더 밸리, 앙귈라	클레이턴 J. 로이드 국제공항	AXA
더 밸리, 앙귈라	Clayton J. Lloyd Intl	AXA
더 밸리, 앙귈라	Wallblake Intl	AXA
알렉산드로폴리스, 그리스	알렉산드루폴리스 인터내셔널 에어포트	AXD
알렉산드로폴리스, 그리스	Demokritos	AXD
알사, 중국	Alxa Left Banner Bayanhot	AXF
